id|text|text_cleaned|sentiment
1525884108097740800|"RT @_Free_OnlyFans: 50 RT if u want watching next scenes 🔥🔥💦💦🍆 @_Free_OnlyFans #alexasmorgam #01
#onlyfans #porn #curvy #boubse #love #Free…"| 50 RT if u want watching next scenes 🔥🔥💦💦🍆  #alexasmorgam #01 #onlyfans #porn #curvy #boubse #love #Free…|positive
1525883453723508736|RT @Sehrish31034866: #Listen_to_SurrahAlrehman #Qalandar_Baba_Bukhari #coronavirus #CoronavirusUpdates #Corona #Covid19UK #COVID19 #covidva…| #Listen_to_SurrahAlrehman #Qalandar_Baba_Bukhari #coronavirus #CoronavirusUpdates #Corona #Covid19UK #COVID19 #covidva…|neutral
1525883439810875392|RT @Sehrish31034866: #Listen_to_SurrahAlrehman #Qalandar_Baba_Bukhari #coronavirus #CoronavirusUpdates #Corona #Covid19UK #COVID19 #covidva…| #Listen_to_SurrahAlrehman #Qalandar_Baba_Bukhari #coronavirus #CoronavirusUpdates #Corona #Covid19UK #COVID19 #covidva…|neutral
1525881419511173120|"#Jodhpur #Corona Stats
15-May-22 22:19
TODAY
Tests: 295
+ve: 2 (.7%)
Deaths: 0
CUMMULATIVE
Tests: 14,18,015
+ve: 1,41,106
Inf: 10.%
TOTAL
Actv: 7 (.%)
Rcvrd: 1,39,936 (99.2%)
Deaths: 1,164 (.82%)
5 Day Actv Grwth: 75.0%
5 Day Dbling Days: .93
Last 7-Day Inf: .3%"|#Jodhpur #Corona Stats 15-May-22 22:19 TODAY Tests: 295 +ve: 2 (.7%) Deaths: 0 CUMMULATIVE Tests: 14,18,015 +ve: 1,41,106 Inf: 10.% TOTAL Actv: 7 (.%) Rcvrd: 1,39,936 (99.2%) Deaths: 1,164 (.82%) 5 Day Actv Grwth: 75.0% 5 Day Dbling Days: .93 Last 7-Day Inf: .3%|neutral
1525879209528369152|"They have decided something else about your future.

#Fake #Pendemic 
#Corona #Scam
#COVID19 
#COVID 
#Agenda21
#Agenda2030 
#RevolutionNow https://t.co/jPOyFjDQFw"|They have decided something else about your future.  #Fake #Pendemic  #Corona #Scam #COVID19  #COVID  #Agenda21 #Agenda2030  #RevolutionNow |negative
1525877535833219075|"RT @USMortality: 🔥 Finally we have evidence, how Pfizer came to calculate a 95% vaccine efficacy!
Real efficacy is likely only 19%, with a…"| 🔥 Finally we have evidence, how Pfizer came to calculate a 95% vaccine efficacy! Real efficacy is likely only 19%, with a…|negative
1525876507658395649|RT @Sehrish31034866: #Listen_to_SurrahAlrehman #Qalandar_Baba_Bukhari #coronavirus #CoronavirusUpdates #Corona #Covid19UK #COVID19 #covidva…| #Listen_to_SurrahAlrehman #Qalandar_Baba_Bukhari #coronavirus #CoronavirusUpdates #Corona #Covid19UK #COVID19 #covidva…|neutral
1525876117302910979|#Wisdom  #COVIDー19 #Corona Study at home #math #tutoring at https://t.co/pLnSNgyjmu|#Wisdom  #COVIDー19 #Corona Study at home #math #tutoring at |positive
1525875621666115584|The latest Corona Daily Update! https://t.co/DUxJeADZwp Thanks to @ckoens @LeidenGlobal @mbentvelsen #corona #coronavirus|The latest Corona Daily Update!  Thanks to    #corona #coronavirus|positive
1525874601108070406|RT @dwoodru11: Enzolytics is the solution! #covid #coronavirus #corona #love #stayhome #bhfyp #quarantine #instagood #lockdown #staysafe #i…| Enzolytics is the solution! #covid #coronavirus #corona #love #stayhome #bhfyp #quarantine #instagood #lockdown #staysafe #i…|positive
